,player_id,game_id,week,player_name,team,pts,preds,position
0,00-0023459,2024_01_NYJ_SF,1,A.Rodgers,NYJ,9.68,7.83,QB
1,00-0023459,2024_02_NYJ_TEN,2,A.Rodgers,NYJ,15.24,12.83,QB
2,00-0023459,2024_03_NE_NYJ,3,A.Rodgers,NYJ,21.04,21.89,QB
3,00-0023459,2024_04_DEN_NYJ,4,A.Rodgers,NYJ,10.6,21.99,QB
4,00-0023459,2024_05_NYJ_MIN,5,A.Rodgers,NYJ,17.76,24.33,QB
5,00-0023459,2024_06_BUF_NYJ,6,A.Rodgers,NYJ,19.76,19.26,QB
6,00-0023459,2024_07_NYJ_PIT,7,A.Rodgers,NYJ,17.04,18.48,QB
7,00-0023459,2024_08_NYJ_NE,8,A.Rodgers,NYJ,17.32,17.34,QB
8,00-0023459,2024_09_HOU_NYJ,9,A.Rodgers,NYJ,20.44,11.32,QB
9,00-0023459,2024_10_NYJ_ARI,10,A.Rodgers,NYJ,6.04,19.42,QB
10,00-0023459,2024_11_IND_NYJ,11,A.Rodgers,NYJ,16.06,10.4,QB
11,00-0023459,2024_13_SEA_NYJ,13,A.Rodgers,NYJ,16.1,19.57,QB
12,00-0023459,2024_14_NYJ_MIA,14,A.Rodgers,NYJ,17.56,16.55,QB
13,00-0023459,2024_15_NYJ_JAX,15,A.Rodgers,NYJ,30.06,21.52,QB
14,00-0023459,2024_16_LA_NYJ,16,A.Rodgers,NYJ,14.84,19.93,QB
15,00-0023459,2024_17_NYJ_BUF,17,A.Rodgers,NYJ,3.48,6.87,QB
16,00-0023459,2024_18_MIA_NYJ,18,A.Rodgers,NYJ,26.96,19.55,QB
17,00-0024243,2024_06_JAX_CHI,6,M.Lewis,CHI,0.7,0.98,TE
18,00-0026158,2024_04_PIT_IND,4,J.Flacco,IND,15.12,13.4,QB
19,00-0026158,2024_05_IND_JAX,5,J.Flacco,IND,28.66,22.28,QB
20,00-0026158,2024_06_IND_TEN,6,J.Flacco,IND,15.66,19.71,QB
21,00-0026158,2024_09_IND_MIN,9,J.Flacco,IND,6.16,11.01,QB
22,00-0026158,2024_10_BUF_IND,10,J.Flacco,IND,18.88,17.68,QB
23,00-0026158,2024_17_IND_NYG,17,J.Flacco,IND,21.3,21.99,QB
24,00-0026158,2024_18_JAX_IND,18,J.Flacco,IND,14.56,17.17,QB
25,00-0026300,2024_04_BUF_BAL,4,J.Johnson,BAL,0.04,0.26,QB
26,00-0026300,2024_09_DEN_BAL,9,J.Johnson,BAL,0.3,0.99,QB
27,00-0026300,2024_15_BAL_NYG,15,J.Johnson,BAL,0.0,0.26,QB
28,00-0026300,2024_17_BAL_HOU,17,J.Johnson,BAL,0.64,1.38,QB
29,00-0026498,2024_01_LA_DET,1,M.Stafford,LA,16.68,19.52,QB
30,00-0026498,2024_02_LA_ARI,2,M.Stafford,LA,8.64,13.9,QB
31,00-0026498,2024_03_SF_LA,3,M.Stafford,LA,12.84,10.83,QB
32,00-0026498,2024_04_LA_CHI,4,M.Stafford,LA,8.96,14.72,QB
33,00-0026498,2024_05_GB_LA,5,M.Stafford,LA,14.4,20.51,QB
34,00-0026498,2024_07_LV_LA,7,M.Stafford,LA,6.16,7.66,QB
35,00-0026498,2024_08_MIN_LA,8,M.Stafford,LA,27.16,17.42,QB
36,00-0026498,2024_09_LA_SEA,9,M.Stafford,LA,19.92,23.74,QB
37,00-0026498,2024_10_MIA_LA,10,M.Stafford,LA,11.72,21.29,QB
38,00-0026498,2024_11_LA_NE,11,M.Stafford,LA,28.1,15.48,QB
39,00-0026498,2024_12_PHI_LA,12,M.Stafford,LA,19.22,17.47,QB
40,00-0026498,2024_13_LA_NO,13,M.Stafford,LA,15.92,14.0,QB
41,00-0026498,2024_14_BUF_LA,14,M.Stafford,LA,20.8,13.71,QB
42,00-0026498,2024_15_LA_SF,15,M.Stafford,LA,8.2,14.47,QB
43,00-0026498,2024_16_LA_NYJ,16,M.Stafford,LA,8.4,6.03,QB
44,00-0026498,2024_17_ARI_LA,17,M.Stafford,LA,9.26,16.64,QB
45,00-0027973,2024_01_CAR_NO,1,A.Dalton,CAR,0.0,0.26,QB
46,00-0027973,2024_03_CAR_LV,3,A.Dalton,CAR,24.76,20.32,QB
47,00-0027973,2024_04_CIN_CAR,4,A.Dalton,CAR,17.8,19.02,QB
48,00-0027973,2024_05_CAR_CHI,5,A.Dalton,CAR,3.74,12.44,QB
49,00-0027973,2024_06_ATL_CAR,6,A.Dalton,CAR,18.94,18.37,QB
50,00-0027973,2024_07_CAR_WAS,7,A.Dalton,CAR,4.12,7.08,QB
51,00-0028118,2024_01_NYJ_SF,1,T.Taylor,NYJ,6.14,6.8,QB
52,00-0028118,2024_17_NYJ_BUF,17,T.Taylor,NYJ,13.92,11.01,QB
55,00-0029263,2024_07_NYJ_PIT,7,R.Wilson,PIT,24.86,22.88,QB
56,00-0029263,2024_08_NYG_PIT,8,R.Wilson,PIT,15.92,16.91,QB
57,00-0029263,2024_10_PIT_WAS,10,R.Wilson,PIT,20.4,17.19,QB
58,00-0029263,2024_11_BAL_PIT,11,R.Wilson,PIT,8.5,21.7,QB
59,00-0029263,2024_12_PIT_CLE,12,R.Wilson,PIT,15.8,16.66,QB
60,00-0029263,2024_13_PIT_CIN,13,R.Wilson,PIT,29.06,15.78,QB
61,00-0029263,2024_14_CLE_PIT,14,R.Wilson,PIT,16.22,15.84,QB
62,00-0029263,2024_15_PIT_PHI,15,R.Wilson,PIT,9.42,13.73,QB
63,00-0029263,2024_16_PIT_BAL,16,R.Wilson,PIT,18.38,15.89,QB
64,00-0029263,2024_17_KC_PIT,17,R.Wilson,PIT,18.7,22.79,QB
65,00-0029263,2024_18_CIN_PIT,18,R.Wilson,PIT,11.52,14.4,QB
66,00-0029263,2024_19_PIT_BAL,19,R.Wilson,PIT,19.5,14.12,QB
67,00-0029604,2024_01_PIT_ATL,1,K.Cousins,ATL,9.2,9.57,QB
68,00-0029604,2024_02_ATL_PHI,2,K.Cousins,ATL,17.74,17.28,QB
69,00-0029604,2024_03_KC_ATL,3,K.Cousins,ATL,13.2,13.17,QB
70,00-0029604,2024_04_NO_ATL,4,K.Cousins,ATL,9.52,13.09,QB
71,00-0029604,2024_05_TB_ATL,5,K.Cousins,ATL,36.36,21.18,QB
72,00-0029604,2024_06_ATL_CAR,6,K.Cousins,ATL,12.0,17.07,QB
73,00-0029604,2024_07_SEA_ATL,7,K.Cousins,ATL,13.28,13.91,QB
74,00-0029604,2024_08_ATL_TB,8,K.Cousins,ATL,28.64,13.62,QB
75,00-0029604,2024_09_DAL_ATL,9,K.Cousins,ATL,20.88,11.61,QB
76,00-0029604,2024_10_ATL_NO,10,K.Cousins,ATL,12.24,17.75,QB
77,00-0029604,2024_11_ATL_DEN,11,K.Cousins,ATL,6.92,9.75,QB
78,00-0029604,2024_13_LAC_ATL,13,K.Cousins,ATL,10.1,16.59,QB
79,00-0029604,2024_14_ATL_MIN,14,K.Cousins,ATL,13.76,15.32,QB
80,00-0029604,2024_15_ATL_LV,15,K.Cousins,ATL,8.48,7.6,QB
83,00-0029892,2024_01_NYJ_SF,1,K.Juszczyk,SF,5.0,3.82,RB
84,00-0029892,2024_02_SF_MIN,2,K.Juszczyk,SF,3.4,4.8,RB
85,00-0029892,2024_03_SF_LA,3,K.Juszczyk,SF,1.1,0.98,RB
86,00-0029892,2024_04_NE_SF,4,K.Juszczyk,SF,1.7,0.98,RB
87,00-0029892,2024_06_SF_SEA,6,K.Juszczyk,SF,9.1,4.64,RB
88,00-0029892,2024_07_KC_SF,7,K.Juszczyk,SF,1.4,4.09,RB
89,00-0029892,2024_08_DAL_SF,8,K.Juszczyk,SF,1.2,3.42,RB
90,00-0029892,2024_11_SEA_SF,11,K.Juszczyk,SF,2.2,1.96,RB
91,00-0029892,2024_12_SF_GB,12,K.Juszczyk,SF,1.9,0.98,RB
92,00-0029892,2024_13_SF_BUF,13,K.Juszczyk,SF,-1.1,2.16,RB
93,00-0029892,2024_14_CHI_SF,14,K.Juszczyk,SF,0.8,2.73,RB
94,00-0029892,2024_16_SF_MIA,16,K.Juszczyk,SF,3.1,3.33,RB
95,00-0029892,2024_17_DET_SF,17,K.Juszczyk,SF,7.4,3.22,RB
96,00-0029892,2024_18_SF_ARI,18,K.Juszczyk,SF,11.9,3.71,RB
97,00-0030035,2024_01_CAR_NO,1,A.Thielen,CAR,6.4,4.97,WR
98,00-0030035,2024_02_LAC_CAR,2,A.Thielen,CAR,3.0,2.83,WR
